incident_title,affected_users,cpu_usage,error_rate,severity
Memory usage elevated,1866,42,0,Low
Regional service degradation,24366,92,49,High
Search response degraded,5560,77,10,Medium
Cache miss increase,1237,76,5,Medium
CPU threshold warning,1185,61,7,Low
Intermittent connection issues,8148,73,14,Medium
Cache miss increase,6182,78,18,Medium
Memory usage elevated,916,53,9,Low
Elevated latency observed,654,60,19,Medium
CPU threshold warning,999,57,3,Low
Elevated latency observed,6916,63,20,Medium
Elevated latency observed,4127,81,25,Medium
High error rate detected,13386,90,46,High
Intermittent connection issues,4270,56,8,Medium
Search response degraded,9896,83,26,Medium
Backup delay detected,969,74,8,Low
Routine maintenance notice,0,14,0,Informational
Intermittent connection issues,8638,59,25,Medium
SSL expires in 10 days,0,48,0,Informational
Regional service degradation,18802,93,26,High
Intermittent connection issues,1195,60,15,Medium
Search response degraded,7114,61,10,Medium
Capacity report generated,0,6,0,Informational
Memory usage elevated,1825,73,8,Low
Cache miss increase,1859,72,7,Medium
Backup delay detected,249,63,0,Low
Cache miss increase,2257,64,25,Medium
Elevated latency observed,8623,70,14,Medium
Routine maintenance notice,0,48,0,Informational
Elevated latency observed,2277,84,6,Medium
Routine maintenance notice,0,27,0,Informational
Message queue backlog,13117,92,57,High
Routine maintenance notice,0,14,0,Informational
Search response degraded,8158,80,23,Medium
Disk usage warning,1657,70,8,Low
Disk usage warning,982,58,8,Low
Disk usage warning,392,70,5,Low
Disk usage warning,1931,70,4,Low
Message queue backlog,8171,87,57,High
Elevated latency observed,2888,62,15,Medium
Core API crash,10325,88,58,Critical
Disk usage warning,1465,54,0,Low
CPU threshold warning,1517,74,2,Low
High error rate detected,22065,84,42,High
Intermittent connection issues,5997,63,25,Medium
Authentication service outage,56118,94,55,Critical
Regional service degradation,23877,81,45,High
Monitoring alert review,0,21,0,Informational
Elevated latency observed,1869,71,26,Medium
Memory usage elevated,1821,58,6,Low
Login API timeout,18209,93,57,High
Regional service degradation,11860,79,45,High
Elevated latency observed,2239,82,9,Medium
High error rate detected,17463,92,56,High
Intermittent connection issues,4393,61,10,Medium
Capacity report generated,0,49,0,Informational
Disk usage warning,1031,51,9,Low
Cache miss increase,3781,82,9,Medium
Regional service degradation,15123,77,35,High
Regional service degradation,16727,89,49,High
Memory usage elevated,1546,70,8,Low
High error rate detected,29782,89,26,High
Backup delay detected,1138,70,5,Low
Capacity report generated,0,40,0,Informational
Production database down,66469,89,67,Critical
Cache miss increase,820,61,26,Medium
Elevated latency observed,9992,68,25,Medium
Memory usage elevated,1184,48,8,Low
High error rate detected,19000,75,43,High
Search response degraded,5885,57,23,Medium
Login API timeout,29359,89,38,High
CPU threshold warning,1813,64,9,Low
Disk usage warning,1918,44,5,Low
Message queue backlog,17892,94,24,High
Backup delay detected,468,63,4,Low
Cache miss increase,2742,84,23,Medium
Search response degraded,9447,59,5,Medium
Intermittent connection issues,4910,61,19,Medium
Production database down,87474,98,52,Critical
Intermittent connection issues,5863,67,5,Medium
Backup delay detected,406,42,7,Low
High error rate detected,19240,81,39,High
Routine maintenance notice,0,21,0,Informational
Elevated latency observed,5583,71,7,Medium
Cache miss increase,5146,67,9,Medium
CPU threshold warning,1022,45,1,Low
Memory usage elevated,939,36,9,Low
Cache miss increase,2814,61,23,Medium
Search response degraded,8429,59,16,Medium
Message queue backlog,16458,87,24,High
Search response degraded,5873,72,20,Medium
Elevated latency observed,1986,84,13,Medium
Cache miss increase,5688,83,26,Medium
Payment gateway unavailable,58266,87,50,Critical
Routine maintenance notice,0,35,0,Informational
Login API timeout,18690,86,54,High
Regional service degradation,11570,87,39,High
High error rate detected,6602,85,27,High
Cache miss increase,7717,83,29,Medium
Message queue backlog,24959,88,37,High
Core API crash,63827,85,61,Critical
Cache miss increase,4028,79,17,Medium
Intermittent connection issues,4263,61,7,Medium
Intermittent connection issues,9036,84,14,Medium
Cache miss increase,6526,71,15,Medium
Backup delay detected,67,46,1,Low
Core API crash,94455,97,45,Critical
CPU threshold warning,190,65,4,Low
Elevated latency observed,7990,77,8,Medium
Backup delay detected,1736,41,9,Low
SSL expires in 10 days,0,46,0,Informational
Elevated latency observed,2369,84,15,Medium
High error rate detected,28057,75,38,High
Intermittent connection issues,9240,65,12,Medium
Cache miss increase,4856,75,25,Medium
Cache miss increase,3844,63,8,Medium
Cache miss increase,6823,71,11,Medium
Disk usage warning,924,58,0,Low
Production database down,15344,88,62,Critical
Backup delay detected,644,57,6,Low
Monitoring alert review,0,30,0,Informational
Monitoring alert review,0,18,0,Informational
Cache miss increase,5677,84,9,Medium
Search response degraded,6698,71,7,Medium
Backup delay detected,1050,50,3,Low
Intermittent connection issues,8630,78,29,Medium
Search response degraded,4857,65,17,Medium
Disk usage warning,481,42,3,Low
Regional service degradation,3218,77,27,High
Payment gateway unavailable,31809,96,59,Critical
Payment gateway unavailable,96426,91,47,Critical
Monitoring alert review,0,37,0,Informational
CPU threshold warning,444,51,9,Low
Regional service degradation,3593,85,26,High
Intermittent connection issues,1265,57,25,Medium
Elevated latency observed,9303,62,19,Medium
Production database down,58270,85,44,Critical
Routine maintenance notice,0,34,0,Informational
Search response degraded,6287,64,23,Medium
Routine maintenance notice,0,33,0,Informational
CPU threshold warning,802,39,2,Low
Search response degraded,6786,84,26,Medium
CPU threshold warning,1912,57,6,Low
Disk usage warning,25,72,6,Low
Core API crash,56996,87,72,Critical
Backup delay detected,1742,72,4,Low
Elevated latency observed,5712,80,13,Medium
High error rate detected,5887,93,53,High
Payment gateway unavailable,98307,97,55,Critical
CPU threshold warning,1462,66,3,Low
Cache miss increase,6179,58,6,Medium
Payment gateway unavailable,75025,86,68,Critical
SSL expires in 10 days,0,18,0,Informational
Elevated latency observed,6530,67,22,Medium
Cache miss increase,1658,80,6,Medium
Authentication service outage,43334,86,55,Critical
Production database down,69351,88,59,Critical
Intermittent connection issues,8708,76,14,Medium
Message queue backlog,10508,83,21,High
Login API timeout,27360,95,25,High
Cache miss increase,1721,55,6,Medium
Search response degraded,8314,66,5,Medium
Memory usage elevated,99,41,7,Low
Monitoring alert review,0,17,0,Informational
Elevated latency observed,5704,81,10,Medium
Authentication service outage,16115,97,60,Critical
High error rate detected,16864,82,22,High
CPU threshold warning,306,59,0,Low
Regional service degradation,21505,84,24,High
CPU threshold warning,1252,36,3,Low
Production database down,91866,92,52,Critical
CPU threshold warning,1382,66,5,Low
Backup delay detected,592,37,5,Low
Capacity report generated,0,39,0,Informational
Regional service degradation,24134,79,47,High
Elevated latency observed,5119,68,17,Medium
Memory usage elevated,1223,61,8,Low
SSL expires in 10 days,0,46,0,Informational
Monitoring alert review,0,5,0,Informational
Search response degraded,4049,73,22,Medium
Intermittent connection issues,9909,61,20,Medium
Search response degraded,8577,58,24,Medium
Regional service degradation,16066,90,59,High
Backup delay detected,47,67,0,Low
Backup delay detected,1546,42,8,Low
Message queue backlog,24763,91,59,High
Intermittent connection issues,6180,84,11,Medium
Login API timeout,3212,81,28,High
High error rate detected,20894,88,21,High
SSL expires in 10 days,0,46,0,Informational
Elevated latency observed,9162,72,16,Medium
SSL expires in 10 days,0,35,0,Informational
Payment gateway unavailable,74202,97,75,Critical
CPU threshold warning,1531,61,7,Low
Disk usage warning,1716,38,7,Low
Disk usage warning,245,48,9,Low
Routine maintenance notice,0,29,0,Informational
Routine maintenance notice,0,29,0,Informational
Intermittent connection issues,8503,71,14,Medium
CPU threshold warning,1606,49,8,Low
CPU threshold warning,576,39,7,Low
Production database down,68452,95,78,Critical
Routine maintenance notice,0,22,0,Informational
Memory usage elevated,1129,63,6,Low
Memory usage elevated,314,55,7,Low
Payment gateway unavailable,97671,99,47,Critical
SSL expires in 10 days,0,16,0,Informational
Cache miss increase,5919,63,16,Medium
CPU threshold warning,1352,40,3,Low
Backup delay detected,977,57,6,Low
Disk usage warning,1231,69,0,Low
Disk usage warning,950,64,1,Low
Regional service degradation,9016,83,55,High
Disk usage warning,110,62,8,Low
Disk usage warning,1029,39,8,Low
Disk usage warning,1006,54,7,Low
Core API crash,55280,86,60,Critical
Regional service degradation,15439,82,35,High
Regional service degradation,29995,90,22,High
Capacity report generated,0,38,0,Informational
Authentication service outage,40700,85,73,Critical
Regional service degradation,23061,82,34,High
Regional service degradation,21656,80,30,High
Search response degraded,4632,77,15,Medium
Memory usage elevated,1294,37,8,Low
Backup delay detected,1872,48,3,Low
Search response degraded,8498,74,25,Medium
Disk usage warning,860,59,4,Low
Core API crash,25693,86,64,Critical
Cache miss increase,2790,78,8,Medium
Disk usage warning,1621,59,4,Low
Routine maintenance notice,0,46,0,Informational
Regional service degradation,25430,77,21,High
Production database down,47009,97,76,Critical
Elevated latency observed,2487,68,20,Medium
Capacity report generated,0,40,0,Informational
Regional service degradation,27356,78,35,High
Monitoring alert review,0,9,0,Informational
Monitoring alert review,0,20,0,Informational
Search response degraded,8460,81,22,Medium
Elevated latency observed,6947,56,18,Medium
Core API crash,52331,85,73,Critical
High error rate detected,9096,94,29,High
Cache miss increase,2642,81,10,Medium
Elevated latency observed,7989,69,11,Medium
High error rate detected,16571,89,34,High
Monitoring alert review,0,41,0,Informational
Intermittent connection issues,1637,84,10,Medium
CPU threshold warning,913,72,1,Low
Disk usage warning,1278,44,3,Low
Message queue backlog,18222,82,42,High
Search response degraded,9713,78,13,Medium
Search response degraded,6536,70,22,Medium
Capacity report generated,0,14,0,Informational
SSL expires in 10 days,0,9,0,Informational
Production database down,88398,96,57,Critical
CPU threshold warning,1548,68,6,Low
Message queue backlog,14465,86,52,High
Payment gateway unavailable,55538,93,48,Critical
Authentication service outage,49732,99,57,Critical
Monitoring alert review,0,26,0,Informational
Memory usage elevated,1322,53,9,Low
Login API timeout,24081,79,27,High
SSL expires in 10 days,0,44,0,Informational
Disk usage warning,642,60,1,Low
Monitoring alert review,0,31,0,Informational
Elevated latency observed,4419,62,7,Medium
Backup delay detected,1041,74,9,Low
Memory usage elevated,1931,68,1,Low
CPU threshold warning,1628,57,6,Low
Memory usage elevated,311,69,3,Low
Disk usage warning,946,61,8,Low
Backup delay detected,1069,70,6,Low
Memory usage elevated,1310,41,6,Low
Intermittent connection issues,1676,64,28,Medium
Authentication service outage,11492,95,91,Critical
Elevated latency observed,8266,82,14,Medium
Search response degraded,7201,72,17,Medium
Routine maintenance notice,0,36,0,Informational
Elevated latency observed,8382,55,18,Medium
High error rate detected,6250,78,34,High
Memory usage elevated,1963,71,7,Low
Disk usage warning,404,63,7,Low
Elevated latency observed,7520,73,14,Medium
Elevated latency observed,5497,82,14,Medium
Elevated latency observed,3125,72,6,Medium
Regional service degradation,16342,80,22,High
Search response degraded,6919,76,17,Medium
Cache miss increase,7382,66,8,Medium
Message queue backlog,14408,89,30,High
Intermittent connection issues,8989,81,7,Medium
Login API timeout,26416,76,42,High
Routine maintenance notice,0,12,0,Informational
Memory usage elevated,1678,62,9,Low
Login API timeout,17465,94,36,High
Memory usage elevated,158,60,4,Low
Authentication service outage,37852,88,85,Critical
Intermittent connection issues,8587,82,6,Medium
Memory usage elevated,119,46,1,Low
Backup delay detected,39,70,3,Low
Routine maintenance notice,0,11,0,Informational
Monitoring alert review,0,13,0,Informational
Login API timeout,20228,86,20,High
CPU threshold warning,1807,50,3,Low
Backup delay detected,714,39,6,Low
Intermittent connection issues,5275,65,6,Medium
Backup delay detected,1012,50,3,Low
Search response degraded,3639,83,11,Medium
Message queue backlog,8935,91,25,High
Authentication service outage,76398,98,45,Critical
Search response degraded,6651,65,22,Medium
Core API crash,89334,93,44,Critical
Cache miss increase,8311,83,16,Medium
Routine maintenance notice,0,36,0,Informational
Search response degraded,1223,62,25,Medium
Capacity report generated,0,33,0,Informational
Elevated latency observed,5875,76,5,Medium
Cache miss increase,9870,58,10,Medium
Disk usage warning,209,44,7,Low
Cache miss increase,3737,71,17,Medium
Backup delay detected,1676,57,3,Low
Memory usage elevated,645,73,4,Low
Disk usage warning,511,48,3,Low
Message queue backlog,19241,79,53,High
Monitoring alert review,0,47,0,Informational
CPU threshold warning,946,73,8,Low
High error rate detected,16794,88,56,High
Elevated latency observed,6305,61,20,Medium
CPU threshold warning,168,58,3,Low
Capacity report generated,0,48,0,Informational
Cache miss increase,3350,68,26,Medium
Capacity report generated,0,18,0,Informational
Disk usage warning,1902,43,4,Low
Authentication service outage,85017,87,77,Critical
Disk usage warning,1320,57,4,Low
SSL expires in 10 days,0,33,0,Informational
Cache miss increase,5786,79,24,Medium
Disk usage warning,147,55,2,Low
Elevated latency observed,2068,68,26,Medium
Backup delay detected,1513,41,4,Low
High error rate detected,25623,87,34,High
Elevated latency observed,3282,64,29,Medium
Disk usage warning,1929,47,9,Low
High error rate detected,22733,85,38,High
Memory usage elevated,931,58,0,Low
Backup delay detected,974,61,1,Low
Memory usage elevated,318,71,8,Low
Payment gateway unavailable,47883,99,58,Critical
SSL expires in 10 days,0,38,0,Informational
Regional service degradation,12150,92,45,High
Monitoring alert review,0,23,0,Informational
Routine maintenance notice,0,37,0,Informational
CPU threshold warning,477,43,0,Low
Elevated latency observed,6285,64,16,Medium
Search response degraded,3240,67,26,Medium
High error rate detected,3144,94,24,High
Cache miss increase,5821,81,22,Medium
Search response degraded,6529,66,7,Medium
Cache miss increase,7241,78,13,Medium
Regional service degradation,10447,81,35,High
Core API crash,91377,88,51,Critical
SSL expires in 10 days,0,7,0,Informational
Regional service degradation,17670,85,25,High
Routine maintenance notice,0,30,0,Informational
Memory usage elevated,555,47,1,Low
Routine maintenance notice,0,14,0,Informational
Search response degraded,7534,57,10,Medium
CPU threshold warning,1912,49,5,Low
Regional service degradation,28380,79,56,High
Memory usage elevated,1502,48,7,Low
Cache miss increase,3019,57,6,Medium
Core API crash,14782,96,53,Critical
Core API crash,14285,90,72,Critical
Search response degraded,9993,81,21,Medium
SSL expires in 10 days,0,7,0,Informational
Message queue backlog,24094,77,44,High
Elevated latency observed,8486,58,17,Medium
Capacity report generated,0,29,0,Informational
Backup delay detected,619,54,0,Low
Core API crash,35983,99,86,Critical
Elevated latency observed,8419,83,29,Medium
Search response degraded,4637,60,26,Medium
Search response degraded,8404,77,22,Medium
Cache miss increase,6632,57,5,Medium
Cache miss increase,1350,76,18,Medium
Disk usage warning,320,71,3,Low
Elevated latency observed,2419,58,5,Medium
Core API crash,32989,98,56,Critical
Cache miss increase,8559,58,15,Medium
Core API crash,39386,95,56,Critical
Search response degraded,6661,57,5,Medium
Intermittent connection issues,2839,56,24,Medium
Cache miss increase,9199,65,14,Medium
Intermittent connection issues,1777,81,9,Medium
Backup delay detected,1142,69,5,Low
High error rate detected,5858,80,37,High
Capacity report generated,0,23,0,Informational
Routine maintenance notice,0,48,0,Informational
Production database down,93201,90,79,Critical
Core API crash,75502,94,67,Critical
Message queue backlog,9428,78,48,High
Search response degraded,9543,62,25,Medium
Intermittent connection issues,6444,62,27,Medium
Elevated latency observed,8185,69,16,Medium
Routine maintenance notice,0,7,0,Informational
Disk usage warning,1617,53,6,Low
Regional service degradation,6995,85,49,High
Login API timeout,25796,93,40,High
Intermittent connection issues,2748,69,5,Medium
Capacity report generated,0,32,0,Informational
Backup delay detected,1947,72,2,Low
Core API crash,53624,93,63,Critical
Production database down,52508,87,69,Critical
Core API crash,72572,86,59,Critical
Search response degraded,6552,63,13,Medium
CPU threshold warning,1310,52,0,Low
Login API timeout,4210,75,54,High
Search response degraded,5542,76,18,Medium
Search response degraded,4296,58,13,Medium
Login API timeout,9385,78,45,High
Memory usage elevated,487,42,1,Low
Memory usage elevated,147,57,5,Low
Search response degraded,7115,68,24,Medium
Capacity report generated,0,17,0,Informational
Authentication service outage,61240,97,61,Critical
Intermittent connection issues,8487,65,14,Medium
Search response degraded,1788,70,24,Medium
Cache miss increase,3597,83,15,Medium
Message queue backlog,18185,84,29,High
Cache miss increase,1323,84,12,Medium
Elevated latency observed,7892,84,21,Medium
Payment gateway unavailable,64179,95,64,Critical
Cache miss increase,1488,80,19,Medium
Login API timeout,10537,87,52,High
Production database down,80169,96,61,Critical
High error rate detected,16619,84,30,High
Monitoring alert review,0,7,0,Informational
Memory usage elevated,1611,60,2,Low
Backup delay detected,902,50,9,Low
Cache miss increase,3558,74,27,Medium
Disk usage warning,1543,71,4,Low
Cache miss increase,9831,73,18,Medium
Disk usage warning,1958,61,7,Low
Disk usage warning,231,68,2,Low
CPU threshold warning,1965,55,4,Low
Memory usage elevated,22,42,1,Low
Core API crash,19547,94,43,Critical
Authentication service outage,70360,92,64,Critical
Search response degraded,3737,72,15,Medium
Login API timeout,20341,92,25,High
Routine maintenance notice,0,17,0,Informational
Message queue backlog,8318,87,24,High
Message queue backlog,29936,86,20,High
Search response degraded,3866,71,24,Medium
Memory usage elevated,59,52,0,Low
Memory usage elevated,1380,72,6,Low
Backup delay detected,1670,56,3,Low
Search response degraded,8297,83,13,Medium
Routine maintenance notice,0,37,0,Informational
Memory usage elevated,1814,48,7,Low
Core API crash,51225,95,60,Critical
Intermittent connection issues,3174,61,10,Medium
Cache miss increase,7557,62,9,Medium
Message queue backlog,20948,80,46,High
Production database down,16977,97,67,Critical
Capacity report generated,0,14,0,Informational
Routine maintenance notice,0,49,0,Informational
Memory usage elevated,1921,58,3,Low
Search response degraded,7180,66,6,Medium
Backup delay detected,1873,72,5,Low
Message queue backlog,6516,95,28,High
Regional service degradation,26224,90,25,High
Capacity report generated,0,40,0,Informational
Backup delay detected,1234,46,0,Low
Backup delay detected,765,64,1,Low
Routine maintenance notice,0,20,0,Informational
Memory usage elevated,312,67,1,Low
Intermittent connection issues,908,55,20,Medium
Core API crash,57045,94,59,Critical
Cache miss increase,7807,80,16,Medium
Regional service degradation,13455,78,35,High
Cache miss increase,6642,71,12,Medium
Search response degraded,8045,76,9,Medium
Memory usage elevated,1976,64,7,Low
Login API timeout,3909,80,31,High
Production database down,62691,92,65,Critical
Memory usage elevated,1582,71,2,Low
Cache miss increase,4880,75,24,Medium
Elevated latency observed,2505,84,27,Medium
Core API crash,67545,95,56,Critical
Search response degraded,9684,84,19,Medium
Disk usage warning,1303,42,7,Low
Cache miss increase,663,82,27,Medium
Search response degraded,9176,75,23,Medium
Disk usage warning,1305,63,9,Low
Memory usage elevated,870,59,2,Low
Cache miss increase,2226,57,10,Medium
Regional service degradation,4540,91,35,High
Backup delay detected,138,56,6,Low
Monitoring alert review,0,25,0,Informational
Message queue backlog,19799,75,47,High
Regional service degradation,13774,95,57,High
Search response degraded,9875,74,17,Medium
Login API timeout,24569,80,54,High
Core API crash,31021,92,64,Critical
SSL expires in 10 days,0,44,0,Informational
Memory usage elevated,1527,62,1,Low
Elevated latency observed,7932,83,10,Medium
Message queue backlog,19196,95,56,High
Monitoring alert review,0,24,0,Informational
Intermittent connection issues,6449,57,5,Medium
Intermittent connection issues,6463,62,8,Medium
Routine maintenance notice,0,29,0,Informational
SSL expires in 10 days,0,29,0,Informational
Elevated latency observed,4059,63,28,Medium
Intermittent connection issues,5329,83,23,Medium
CPU threshold warning,1840,35,6,Low
Regional service degradation,7035,78,38,High
Production database down,92263,91,93,Critical
Elevated latency observed,868,81,12,Medium
Intermittent connection issues,4211,64,22,Medium
SSL expires in 10 days,0,6,0,Informational
Capacity report generated,0,46,0,Informational
Routine maintenance notice,0,24,0,Informational
Elevated latency observed,5055,74,21,Medium
High error rate detected,13805,88,58,High
Authentication service outage,28217,95,42,Critical
Disk usage warning,1039,52,0,Low
Intermittent connection issues,2355,79,21,Medium
Backup delay detected,214,50,7,Low
Elevated latency observed,5373,55,16,Medium
Memory usage elevated,1424,37,5,Low
High error rate detected,13262,76,52,High
Cache miss increase,9221,57,12,Medium
Elevated latency observed,6308,78,9,Medium
Search response degraded,2980,59,10,Medium
Intermittent connection issues,3330,77,19,Medium
Memory usage elevated,1456,58,2,Low
Search response degraded,9713,72,27,Medium
Monitoring alert review,0,32,0,Informational
Intermittent connection issues,5556,64,23,Medium
Authentication service outage,24450,99,54,Critical
Backup delay detected,528,67,1,Low
Payment gateway unavailable,90654,86,77,Critical
Search response degraded,1434,69,20,Medium
CPU threshold warning,14,67,3,Low
Backup delay detected,1728,69,2,Low
Elevated latency observed,7843,83,19,Medium
Search response degraded,9730,84,17,Medium
Backup delay detected,1007,44,1,Low
Elevated latency observed,3160,77,5,Medium
Message queue backlog,28004,76,52,High
Production database down,64859,87,72,Critical
Search response degraded,1868,83,28,Medium
Cache miss increase,7462,71,26,Medium
Monitoring alert review,0,9,0,Informational
Intermittent connection issues,5491,64,19,Medium
Monitoring alert review,0,26,0,Informational
Backup delay detected,899,47,3,Low
High error rate detected,11197,77,45,High
Authentication service outage,38107,87,77,Critical
Core API crash,58643,87,65,Critical
Production database down,16879,88,73,Critical
Intermittent connection issues,7346,69,20,Medium
Search response degraded,4602,75,12,Medium
Core API crash,17037,97,71,Critical
Search response degraded,929,63,15,Medium
SSL expires in 10 days,0,13,0,Informational
CPU threshold warning,1016,36,7,Low
Login API timeout,29580,85,34,High
Backup delay detected,1367,73,6,Low
Cache miss increase,6927,72,21,Medium
CPU threshold warning,1452,70,6,Low
Routine maintenance notice,0,45,0,Informational
Payment gateway unavailable,98295,89,83,Critical
Memory usage elevated,1216,66,3,Low
Intermittent connection issues,4100,60,28,Medium
Memory usage elevated,317,64,7,Low
Disk usage warning,1266,66,2,Low
Backup delay detected,1632,60,1,Low
Elevated latency observed,2485,70,18,Medium
Disk usage warning,1621,55,4,Low
Capacity report generated,0,46,0,Informational
Backup delay detected,1110,47,1,Low
CPU threshold warning,1411,57,4,Low
Capacity report generated,0,9,0,Informational
Routine maintenance notice,0,45,0,Informational
Memory usage elevated,1775,46,2,Low
Elevated latency observed,2223,72,12,Medium
Login API timeout,7423,94,21,High
CPU threshold warning,604,38,6,Low
CPU threshold warning,1342,73,9,Low
Memory usage elevated,1231,38,1,Low
Payment gateway unavailable,75266,89,87,Critical
CPU threshold warning,1981,60,8,Low
Routine maintenance notice,0,37,0,Informational
Routine maintenance notice,0,32,0,Informational
Intermittent connection issues,934,57,28,Medium
Cache miss increase,1421,81,22,Medium
Search response degraded,5666,78,29,Medium
Disk usage warning,50,42,0,Low
Search response degraded,982,66,5,Medium
Cache miss increase,1038,65,26,Medium
Search response degraded,5059,76,23,Medium
Search response degraded,3565,82,11,Medium
Monitoring alert review,0,14,0,Informational
Backup delay detected,1289,65,4,Low
CPU threshold warning,360,55,0,Low
CPU threshold warning,521,54,8,Low
Intermittent connection issues,2251,70,12,Medium
Memory usage elevated,1863,50,3,Low
Core API crash,72075,95,70,Critical
Disk usage warning,1003,68,3,Low
Cache miss increase,8212,78,14,Medium
Intermittent connection issues,2878,60,5,Medium
Message queue backlog,24792,95,56,High
Disk usage warning,874,68,6,Low
High error rate detected,5484,78,27,High
CPU threshold warning,840,68,1,Low
Elevated latency observed,9160,66,18,Medium
Search response degraded,3872,84,5,Medium
Regional service degradation,11914,78,38,High
SSL expires in 10 days,0,18,0,Informational
Search response degraded,3549,68,10,Medium
Search response degraded,7602,66,23,Medium
Core API crash,79163,86,61,Critical
Payment gateway unavailable,99187,95,88,Critical
Cache miss increase,6979,73,20,Medium
SSL expires in 10 days,0,13,0,Informational
Login API timeout,21091,81,23,High
SSL expires in 10 days,0,14,0,Informational
Memory usage elevated,307,46,7,Low
Core API crash,19369,95,42,Critical
Disk usage warning,331,61,3,Low
Routine maintenance notice,0,19,0,Informational
High error rate detected,21080,76,26,High
CPU threshold warning,890,49,9,Low
Login API timeout,16135,91,54,High
CPU threshold warning,409,56,0,Low
Search response degraded,5904,84,10,Medium
Disk usage warning,472,43,9,Low
Disk usage warning,1211,57,6,Low
Authentication service outage,42476,88,87,Critical
Routine maintenance notice,0,13,0,Informational
Monitoring alert review,0,21,0,Informational
CPU threshold warning,1750,55,2,Low
High error rate detected,15763,87,44,High
Intermittent connection issues,6958,70,27,Medium
Authentication service outage,96720,88,48,Critical
Routine maintenance notice,0,39,0,Informational
CPU threshold warning,1749,54,1,Low
Disk usage warning,692,70,3,Low
Search response degraded,6189,56,22,Medium
Disk usage warning,453,42,3,Low
Capacity report generated,0,37,0,Informational
Search response degraded,2758,84,25,Medium
Login API timeout,27411,95,37,High
Backup delay detected,445,57,1,Low
Message queue backlog,18046,89,47,High
Elevated latency observed,7979,67,8,Medium
Capacity report generated,0,31,0,Informational
Intermittent connection issues,5699,83,16,Medium
Memory usage elevated,572,67,6,Low
Backup delay detected,1944,64,0,Low
Disk usage warning,725,38,3,Low
Cache miss increase,3696,66,18,Medium
Regional service degradation,25946,88,53,High
Core API crash,16773,98,62,Critical
Backup delay detected,1202,67,2,Low
Cache miss increase,693,65,9,Medium
Regional service degradation,22732,80,50,High
High error rate detected,7547,79,27,High
Elevated latency observed,1310,76,24,Medium
Memory usage elevated,1422,50,2,Low
Search response degraded,3400,59,15,Medium
Authentication service outage,27637,93,44,Critical
Backup delay detected,1608,74,9,Low
CPU threshold warning,1717,42,3,Low
Disk usage warning,452,67,5,Low
Cache miss increase,7031,71,19,Medium
Memory usage elevated,462,39,8,Low
Cache miss increase,1148,81,14,Medium
Core API crash,69109,98,50,Critical
Memory usage elevated,1817,66,5,Low
Disk usage warning,855,43,0,Low
Intermittent connection issues,4396,84,14,Medium
Disk usage warning,1024,44,9,Low
CPU threshold warning,1425,40,9,Low
Cache miss increase,9230,70,15,Medium
High error rate detected,24357,89,52,High
Search response degraded,6524,76,26,Medium
Payment gateway unavailable,78789,91,59,Critical
Monitoring alert review,0,11,0,Informational
CPU threshold warning,1518,42,1,Low
SSL expires in 10 days,0,23,0,Informational
Production database down,69112,96,40,Critical
Routine maintenance notice,0,28,0,Informational
Routine maintenance notice,0,35,0,Informational
Routine maintenance notice,0,29,0,Informational
Elevated latency observed,1263,77,11,Medium
Routine maintenance notice,0,49,0,Informational
Production database down,33106,96,51,Critical
Search response degraded,4857,74,29,Medium
Elevated latency observed,6131,81,24,Medium
Payment gateway unavailable,81140,92,78,Critical
Routine maintenance notice,0,48,0,Informational
Search response degraded,7473,83,29,Medium
Monitoring alert review,0,31,0,Informational
Regional service degradation,13024,85,55,High
Production database down,89820,97,74,Critical
Memory usage elevated,804,41,3,Low
Capacity report generated,0,31,0,Informational
Memory usage elevated,1854,70,4,Low
Authentication service outage,32352,87,74,Critical
CPU threshold warning,1012,53,6,Low
Disk usage warning,83,52,4,Low
Routine maintenance notice,0,7,0,Informational
Backup delay detected,1103,45,7,Low
SSL expires in 10 days,0,44,0,Informational
Capacity report generated,0,24,0,Informational
High error rate detected,22402,75,50,High
Login API timeout,23002,75,49,High
Search response degraded,8634,61,27,Medium
Login API timeout,7747,87,23,High
Monitoring alert review,0,12,0,Informational
Elevated latency observed,1381,66,19,Medium
Cache miss increase,2713,71,22,Medium
Search response degraded,5146,74,29,Medium
Elevated latency observed,9930,81,25,Medium
Login API timeout,12502,89,32,High
Memory usage elevated,531,55,2,Low
CPU threshold warning,1551,46,7,Low
Cache miss increase,7565,69,19,Medium
Routine maintenance notice,0,36,0,Informational
Memory usage elevated,1237,72,2,Low
Memory usage elevated,1950,37,9,Low
Regional service degradation,13631,79,29,High
CPU threshold warning,1120,51,8,Low
Regional service degradation,19768,86,39,High
Backup delay detected,1632,71,8,Low
Authentication service outage,86913,91,93,Critical
Disk usage warning,392,71,2,Low
Core API crash,99017,99,62,Critical
SSL expires in 10 days,0,39,0,Informational
Cache miss increase,2962,57,16,Medium
Intermittent connection issues,5788,75,5,Medium
CPU threshold warning,1774,45,2,Low
Search response degraded,9165,70,22,Medium
Authentication service outage,46954,97,46,Critical
High error rate detected,23725,76,23,High
Search response degraded,2009,57,24,Medium
Intermittent connection issues,5080,67,8,Medium
SSL expires in 10 days,0,44,0,Informational
Disk usage warning,1663,56,9,Low
Intermittent connection issues,8745,71,26,Medium
Cache miss increase,2178,67,19,Medium
